Availability;1000|0_T;1000|0_E;1000|1_T;1000|1_E;1000|2_T;1000|2_E;1000|3_T;1000|3_E;1000|4_T;1000|4_E;1500|0_T;1500|0_E;1500|1_T;1500|1_E;1500|2_T;1500|2_E;1500|3_T;1500|3_E;1500|4_T;1500|4_E;2000|0_T;2000|0_E;2000|1_T;2000|1_E;2000|2_T;2000|2_E;2000|3_T;2000|3_E;2000|4_T;2000|4_E;2500|0_T;2500|0_E;2500|1_T;2500|1_E;2500|2_T;2500|2_E;2500|3_T;2500|3_E;2500|4_T;2500|4_E;3000|0_T;3000|0_E;3000|1_T;3000|1_E;3000|2_T;3000|2_E;3000|3_T;3000|3_E;3000|4_T;3000|4_E
0.5;296039.4814999997;265;346276.4549999998;108;391581.95570000034;55;382731.19269999996;24;393837.9847999998;12;350557.98910000024;218;391780.78500000003;82;416464.46739999973;33;420490.05030000006;18;431964.9975999999;8;385355.1863000001;179;434897.1683999999;64;440257.85119999974;36;455046.5284000002;13;445279.40920000017;5;407428.61099999986;156;450887.1083000003;57;467906.88429999986;25;469393.68400000036;10;484214.1825000002;4;425035.1777000001;134;463565.19949999976;50;477753.3274000001;16;482676.20229999995;6;491723.72309999965;2
0.6;258452.9614;235;309341.90389999974;84;301465.4857999997;25;325649.9277999998;12;330501.9576000002;6;313041.35069999984;200;354699.2941000002;70;370724.0771000001;29;386636.58909999987;11;388568.6145999996;1;355794.95789999975;168;417171.3675999995;54;407289.64180000004;16;421104.49079999985;3;393461.54089999985;1;367615.37769999984;141;426350.71219999983;46;442583.1310999998;15;448658.68180000014;7;408088.0647999999;3;385835.73270000005;125;442050.6602999999;42;443119.6397999999;16;450132.77239999967;4;450297.4258000001;2
0.7;207874.38610000053;196;249456.22190000012;59;258054.14090000011;11;270149.5777;3;268244.18020000006;1;283120.6482;175;309828.4392999998;42;312939.20719999983;12;317054.28399999987;3;307294.1087000003;1;325664.68779999943;150;356902.8546999998;42;339114.5372999994;10;359076.2103999999;4;352122.3737999999;1;334986.06130000035;124;384936.7488000002;36;388264.00139999954;10;379095.59569999966;3;373577.6194999998;3;357492.73669999966;117;403151.3266999997;27;408796.2150000002;8;393550.75380000006;0;392144.57410000014;0
0.8;161435.45040000012;141;183843.6977000002;29;171325.60740000027;3;193125.1691000001;1;186821.0557000001;1;211357.21140000023;131;220540.65950000024;19;242617.21039999984;5;248603.83130000017;0;220022.74360000013;0;251067.50590000005;121;294293.4244;25;286400.6628;3;267776.1672;4;270474.8388000001;0;265412.33590000035;98;316068.0523999998;21;334390.45529999986;4;315531.9027999999;0;314121.0384999998;0;314015.31329999986;97;308494.72930000006;15;325887.5969;2;318864.69639999984;5;325784.09149999963;0
0.9;95434.65090000015;86;104544.15220000027;5;99257.04420000021;2;108213.71410000019;0;103061.92950000025;0;124658.20580000019;80;144348.97440000036;6;152917.58520000044;2;167949.31960000037;0;118420.6427000002;0;141181.31320000035;65;190666.37320000023;10;173525.09990000058;1;168688.14020000017;0;163505.28860000035;0;168250.32330000025;65;202601.90140000018;7;249371.4472000001;3;200301.62660000013;0;182778.60260000025;0;204147.9616;66;216514.52750000026;2;211385.2198000003;0;235045.75090000025;1;216022.87660000016;0
1;10.830000000000005;0;6.507200000000001;0;6.536000000000005;0;10.585000000000004;0;6.452300000000003;0;5.951000000000006;0;10.872900000000001;0;6.646000000000001;0;6.187400000000005;0;10.311799999999993;0;10.976199999999988;0;20.820099999999968;0;6.9160999999999815;0;7.085600000000002;0;10.641100000000002;0;6.705200000000002;0;21.947999999999958;0;6.4355000000000055;0;6.319500000000004;0;6.320700000000003;0;11.725999999999994;0;6.692800000000004;0;16.570899999999998;0;11.801499999999976;0;21.73009999999993;0
